PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Jordan Nwora,MIL,30,19,11,9.1,3725.5,0.71,0.37,0.33,4.3,4.72,3.88
Jordan Poole,GSW,51,28,23,19.4,7601.6,1.44,0.8,0.64,4.21,4.74,3.72
Josh Green,DAL,39,20,19,11.4,4937.9,0.94,0.5,0.44,4.61,4.86,4.35
Josh Hall,OKC,21,2,19,16,5977,1.13,0.61,0.52,4.34,4.73,3.96
Josh Hart,NOP,47,21,26,28.7,11674.2,2.21,1.18,1.03,4.31,4.63,3.99
Josh Jackson,DET,62,16,46,25.1,9950.4,1.88,1.02,0.87,4.27,4.55,3.97
Josh Okogie,MIN,59,21,38,20.3,8189.5,1.55,0.78,0.77,4.29,4.35,4.24
Josh Richardson,DAL,59,35,24,30.3,11954,2.26,1.22,1.04,4.28,4.52,4.03
Jrue Holiday,MIL,59,41,18,32.3,12942.4,2.45,1.3,1.15,4.27,4.75,3.85
Juan Toscano-Anderson,GSW,53,28,25,20.9,8772.7,1.66,0.88,0.78,4.48,4.96,4.04
Juancho Hernangomez,MIN,52,19,33,17.3,7245.5,1.37,0.73,0.64,4.46,4.83,4.09
Julius Randle,NYK,71,40,31,37.6,13982.9,2.65,1.48,1.17,3.99,4.34,3.61
Justin Holiday,IND,72,34,38,30.3,12419.3,2.35,1.25,1.1,4.35,4.78,3.95
Justin Jackson,MIL,34,12,22,17,6708.9,1.27,0.69,0.58,4.22,4.55,3.89
Justin James,SAC,36,15,21,8.6,3601.7,0.68,0.35,0.33,4.44,4.6,4.25
Justin Patton,HOU,13,1,12,19,7405.5,1.4,0.74,0.67,4.17,4.44,3.94
Justin Robinson,OKC,9,0,9,9.8,4077.8,0.77,0.43,0.34,4.45,4.91,3.99
Justise Winslow,MEM,26,13,13,19.5,7591.8,1.44,0.75,0.69,4.31,4.63,4.01
Jusuf Nurkić,POR,37,22,15,23.8,9030.9,1.71,0.91,0.8,4.08,4.34,3.81
Juwan Morgan,UTA,29,24,5,5.1,1988.9,0.38,0.21,0.17,4.17,4.45,3.86
KJ Martin,HOU,45,10,35,23.7,9157.6,1.73,0.91,0.83,4.11,4.33,3.9
KZ Okpala,MIA,37,22,15,12.1,4879.6,0.92,0.48,0.45,4.32,4.54,4.1
Karim Mane,ORL,10,2,8,8.8,3747.6,0.71,0.38,0.33,4.47,4.67,4.26
Karl-Anthony Towns,MIN,50,19,31,33.8,12254.8,2.32,1.23,1.09,3.86,4.11,3.61
Kawhi Leonard,LAC,52,36,16,34.1,13135.6,2.49,1.37,1.12,4.12,4.41,3.8
Keita Bates-Diop,SAS,30,13,17,8.2,3246.5,0.61,0.33,0.29,4.31,4.56,4.05
Kelan Martin,IND,35,16,19,9.2,3761.1,0.71,0.37,0.35,4.27,4.79,3.83
Keldon Johnson,SAS,69,32,37,28.5,11303.5,2.14,1.16,0.98,4.29,4.57,4
Keljin Blevins,POR,17,11,6,4.4,1933,0.37,0.2,0.17,4.66,4.89,4.44
Kelly Olynyk,HOU,70,26,44,28.5,11374.2,2.15,1.18,0.98,4.27,4.66,3.87
Kelly Oubre Jr.,GSW,55,27,28,30.7,12379.8,2.34,1.19,1.16,4.36,4.61,4.13
Kemba Walker,OKC,43,22,21,31.9,12425.5,2.35,1.31,1.04,4.16,4.66,3.66
Kendrick Nunn,MIA,56,31,25,29.5,11434.3,2.17,1.19,0.98,4.16,4.58,3.74
Kenrich Williams,OKC,66,21,45,21.6,8905.6,1.69,0.9,0.79,4.39,4.67,4.1
Kent Bazemore,GSW,67,35,32,19.9,8117.3,1.54,0.79,0.75,4.37,4.65,4.12
Kentavious Caldwell-Pope,LAL,67,39,28,28.4,11053.8,2.09,1.08,1.01,4.15,4.24,4.05
Kevin Durant,BKN,35,23,12,33,12063.3,2.28,1.23,1.05,3.91,4.37,3.48
Kevin Huerter,ATL,69,40,29,30.8,12128.5,2.3,1.23,1.06,4.2,4.47,3.92
Kevin Knox II,NYK,42,26,16,11.1,4377.7,0.83,0.44,0.39,4.25,4.49,4.01
Kevin Love,CLE,25,7,18,24.9,8760.1,1.66,0.91,0.75,3.78,4.01,3.51
Kevin Porter Jr.,HOU,26,4,22,32.1,12464.9,2.36,1.27,1.09,4.14,4.45,3.84
Kevon Looney,GSW,61,34,27,19,7188.7,1.36,0.7,0.66,4.07,4.34,3.82
Khem Birch,TOR,67,23,44,22.8,9233,1.75,0.93,0.82,4.3,4.53,4.08
Khris Middleton,MIL,68,45,23,33.4,13199.5,2.5,1.34,1.16,4.23,4.72,3.77
Khyri Thomas,HOU,5,1,4,30.6,12224.8,2.32,1.2,1.11,4.29,4.66,3.95
Killian Hayes,DET,26,6,20,25.8,10414.6,1.97,1.1,0.87,4.32,4.7,3.9
Killian Tillie,MEM,18,11,7,10.1,4152.1,0.79,0.42,0.37,4.37,4.66,4.02
Kira Lewis Jr.,NOP,54,23,31,16.8,6986.3,1.32,0.72,0.6,4.47,4.95,3.99
Kostas Antetokounmpo,LAL,15,6,9,3.7,1409.6,0.27,0.14,0.12,4.1,4.49,3.92
Kris Dunn,ATL,4,1,3,11.3,4651.8,0.88,0.46,0.43,4.27,4.33,4.21
Kristaps Porziņģis,DAL,43,26,17,30.9,10971.8,2.08,1.14,0.94,3.91,4.18,3.62
Kyle Anderson,MEM,69,36,33,27.4,10601,2.01,1.06,0.95,4.18,4.5,3.89
Kyle Guy,SAC,31,11,20,7.6,3302.3,0.63,0.33,0.29,4.6,5,4.21
Kyle Kuzma,LAL,68,40,28,28.7,11582.2,2.19,1.16,1.03,4.28,4.47,4.07
Kyle Lowry,TOR,46,15,31,34.8,12817.6,2.43,1.32,1.11,3.9,4.36,3.46
Kyrie Irving,BKN,54,36,18,34.9,12999.7,2.46,1.32,1.14,3.98,4.38,3.6
LaMarcus Aldridge,BKN,26,15,11,25.9,9510.5,1.8,0.97,0.84,3.93,4.13,3.72
LaMelo Ball,CHA,51,23,28,28.8,12273.8,2.32,1.26,1.06,4.54,5.04,4.06
Lamar Stevens,CLE,40,13,27,12.5,5075.5,0.96,0.5,0.46,4.3,4.52,4.07
Landry Shamet,BKN,61,39,22,23,9568.2,1.81,1,0.81,4.45,5.03,3.9
Langston Galloway,PHX,40,29,11,10.9,4551.3,0.86,0.47,0.39,4.44,4.73,4.15
Larry Nance Jr.,CLE,35,13,22,31.2,11894.1,2.25,1.22,1.03,4.06,4.25,3.86
Lauri Markkanen,CHI,51,20,31,25.8,10372.6,1.96,1.1,0.87,4.3,4.77,3.82
LeBron James,LAL,45,30,15,33.4,11244.1,2.13,1.15,0.98,3.58,3.88,3.29
Lonnie Walker IV,SAS,60,28,32,25.4,9750.6,1.85,0.99,0.86,4.15,4.37,3.93
Lonzo Ball,NOP,55,23,32,31.8,12740.3,2.41,1.32,1.09,4.3,4.75,3.85
Lou Williams,ATL,66,44,22,21.6,7897.2,1.5,0.83,0.67,3.89,4.26,3.51
Louis King,SAC,6,3,3,14.2,5929,1.12,0.61,0.51,4.43,4.77,4.21
Luguentz Dort,OKC,52,18,34,29.7,11406.8,2.16,1.16,1,4.12,4.4,3.84
Luka Dončić,DAL,66,40,26,34.3,12227.6,2.32,1.33,0.99,3.87,4.35,3.38
Luka Samanic,SAS,33,14,19,9.3,3957.6,0.75,0.41,0.34,4.51,4.94,4.08
Luke Kennard,LAC,63,44,19,19.6,7632.8,1.45,0.8,0.65,4.22,4.52,3.88
Luke Kornet,BOS,31,13,18,11.2,4395.5,0.83,0.46,0.37,4.2,4.7,3.74
Malachi Flynn,TOR,47,21,26,19.7,8001.9,1.52,0.81,0.7,4.3,4.61,3.99
Malcolm Brogdon,IND,56,27,29,34.5,13653,2.59,1.44,1.14,4.21,4.77,3.65
Malik Beasley,MIN,37,8,29,32.8,13396.8,2.54,1.44,1.1,4.33,4.84,3.81
Malik Fitts,LAC,3,3,0,3.6,1457,0.28,0.15,0.13,4.01,3.52,4.67
Malik Monk,CHA,42,19,23,20.9,8362.9,1.58,0.89,0.7,4.25,4.8,3.72
Mamadi Diakite,MIL,14,7,7,10.1,4093.1,0.78,0.39,0.38,4.26,4.62,3.88
Marc Gasol,LAL,52,32,20,19.1,6613.4,1.25,0.65,0.6,3.71,3.82,3.59
Marcus Morris Sr.,LAC,57,38,19,26.4,9640.8,1.83,0.97,0.86,3.88,4.06,3.69
Marcus Smart,BOS,48,24,24,32.9,12235.6,2.32,1.24,1.07,3.95,4.3,3.62
Markelle Fultz,ORL,8,6,2,26.9,11345.3,2.15,1.17,0.98,4.53,5.1,4
Markieff Morris,LAL,61,32,29,19.7,7060.9,1.34,0.69,0.64,3.82,3.93,3.71
Markus Howard,DEN,37,24,13,5.5,2330.9,0.44,0.25,0.19,4.4,4.81,3.97
Marques Bolden,CLE,6,2,4,4.8,1904.8,0.36,0.19,0.17,4.28,4.34,3.85
Marquese Chriss,GSW,2,0,2,13.4,5429,1.03,0.57,0.46,4.39,4.65,3.72
Marvin Bagley III,SAC,43,20,23,25.9,10461.7,1.98,1.03,0.95,4.46,4.76,4.17
Mason Jones,PHI,32,10,22,10.4,4264.4,0.81,0.45,0.36,4.48,4.95,4.04
Mason Plumlee,DET,56,14,42,26.8,10485.1,1.99,1.1,0.88,4.23,4.48,3.95
Matisse Thybulle,PHI,65,46,19,20,8089.8,1.53,0.79,0.75,4.29,4.36,4.21
Matt Thomas,UTA,45,27,18,7.3,3193.7,0.6,0.34,0.27,4.74,5.31,4.18
Matthew Dellavedova,CLE,13,4,9,17.2,6693.1,1.27,0.71,0.56,4.18,4.66,3.71
Maurice Harkless,SAC,37,16,21,20.9,8299.2,1.57,0.82,0.75,4.25,4.42,4.05
Max Strus,MIA,39,14,25,13,5301.4,1,0.54,0.46,4.42,4.88,3.98
Maxi Kleber,DAL,50,31,19,26.8,9748.5,1.85,1.01,0.84,3.96,4.17,3.74
Meyers Leonard,MIA,3,2,1,9.8,3683,0.7,0.39,0.3,4.04,4.48,3.58
Mfiondu Kabengele,CLE,39,20,19,7.2,2842.6,0.54,0.29,0.25,4.18,4.36,3.99
Michael Carter-Williams,ORL,31,12,19,25.8,10294.7,1.95,1.07,0.88,4.29,4.7,3.88
Michael Porter Jr.,DEN,61,40,21,31.4,12061.7,2.28,1.21,1.07,4.14,4.32,3.96
Mikal Bridges,PHX,72,51,21,32.6,13220.4,2.5,1.31,1.19,4.37,4.6,4.15
Mike Conley,UTA,51,37,14,29.4,11691.1,2.21,1.22,1,4.25,4.69,3.81
Mike James,BKN,13,9,4,18.1,7244.3,1.37,0.75,0.62,4.28,4.71,3.85
Mike Muscala,OKC,35,15,20,18.4,7517.7,1.42,0.79,0.63,4.34,4.84,3.84
Mike Scott,PHI,51,35,16,16.7,6555.1,1.24,0.68,0.56,4.18,4.47,3.87
Miles Bridges,CHA,66,31,35,29.3,11834,2.24,1.19,1.05,4.3,4.67,3.95
Mitchell Robinson,NYK,31,15,16,27.5,10494,1.99,1.08,0.9,4.19,4.41,3.96
Miye Oni,UTA,54,45,9,9.6,3939.5,0.75,0.38,0.37,4.37,4.49,4.25
Mo Bamba,ORL,46,11,35,15.8,6050.2,1.15,0.62,0.53,4.1,4.23,3.97
Montrezl Harrell,LAL,69,41,28,22.9,8449.2,1.6,0.82,0.78,3.9,3.96,3.84
Monté Morris,DEN,47,30,17,25.4,9814.7,1.86,1.03,0.83,4.14,4.54,3.74
Moritz Wagner,ORL,45,19,26,16,6262.5,1.19,0.64,0.54,4.29,4.79,3.83
Moses Brown,BOS,43,8,35,21.4,8243.3,1.56,0.85,0.71,4.24,4.55,3.93
Mychal Mulder,GSW,60,33,27,12.8,5287.4,1,0.51,0.49,4.43,4.76,4.13
Myles Turner,IND,47,22,25,31,12115.9,2.29,1.22,1.08,4.17,4.53,3.83
Naji Marshall,NOP,32,14,18,21.9,9008.9,1.71,0.9,0.81,4.39,4.77,4.03
Nassir Little,POR,48,27,21,13.3,5231.8,0.99,0.55,0.45,4.32,4.58,4.04
Nate Darling,CHA,7,3,4,3.7,1517.6,0.29,0.15,0.13,4.19,4.36,4
Nate Hinton,DAL,21,11,10,4.4,1865.2,0.35,0.2,0.15,4.35,4.71,3.95
Nathan Knight,ATL,33,21,12,8.4,3343.2,0.63,0.34,0.29,4.18,4.42,3.93
Naz Reid,MIN,70,22,48,19.2,7563.9,1.43,0.76,0.67,4.19,4.52,3.87
Nemanja Bjelica,MIA,37,16,21,16.1,6042.9,1.14,0.61,0.53,4.16,4.47,3.86
Nerlens Noel,NYK,64,35,29,24.2,9766.8,1.85,1.01,0.84,4.31,4.61,4.01
Nic Claxton,BKN,32,23,9,18.6,7416,1.4,0.71,0.69,4.24,4.49,4.01
Nick Richards,CHA,18,9,9,3.5,1477.6,0.28,0.15,0.13,4.41,4.56,4.24
Nickeil Alexander-Walker,NOP,46,20,26,21.9,9347.5,1.77,0.98,0.79,4.55,5.14,4
Nico Mannion,GSW,30,17,13,12.1,4993.9,0.95,0.5,0.44,4.5,4.81,4.2
Nicolas Batum,LAC,67,44,23,27.4,10582.5,2,1.05,0.95,4.11,4.23,3.98
Nicolo Melli,DAL,45,26,19,12.6,5155.4,0.98,0.55,0.43,4.37,4.7,4.03
Nikola Jokić,DEN,72,47,25,34.5,12446.3,2.36,1.29,1.07,3.88,4.17,3.58
Nikola Vučević,CHI,70,26,44,33.5,11947,2.26,1.22,1.04,3.83,4.05,3.61
Noah Vonleh,BKN,4,3,1,2.7,1085,0.21,0.12,0.09,4.02,4.77,3.19
Norman Powell,POR,69,32,37,32,12774.6,2.42,1.31,1.11,4.25,4.66,3.85
Norvel Pelle,NYK,13,8,5,6.4,2450.3,0.46,0.24,0.22,4.01,4.28,3.87
OG Anunoby,TOR,43,18,25,33.3,12925.2,2.45,1.26,1.19,4.12,4.3,3.93
Obi Toppin,NYK,62,36,26,11,4534.6,0.86,0.46,0.4,4.43,4.77,4.1
Onyeka Okongwu,ATL,50,31,19,12,4874.5,0.92,0.49,0.43,4.29,4.43,4.13
Oshae Brissett,IND,21,10,11,24.7,10078.9,1.91,1,0.91,4.35,4.82,3.94
Otto Porter Jr.,ORL,28,12,16,21.7,8986.3,1.7,0.93,0.77,4.39,4.79,3.98
P.J. Tucker,MIL,52,27,25,26.1,9772.2,1.85,0.94,0.91,4.08,4.19,3.97
P.J. Washington,CHA,64,31,33,30.5,11687.5,2.21,1.19,1.02,4.11,4.43,3.8
PJ Dozier,DEN,50,36,14,21.8,8535.9,1.62,0.89,0.73,4.2,4.54,3.84
Pascal Siakam,TOR,56,21,35,35.8,14072.5,2.67,1.46,1.21,4.17,4.63,3.73
Pat Connaughton,MIL,69,44,25,22.8,9421.5,1.78,0.95,0.83,4.37,4.81,3.96
Patrick Beverley,LAC,37,25,12,22.5,8662.5,1.64,0.88,0.76,4.19,4.42,3.97
Patrick McCaw,TOR,5,2,3,6.7,2812.2,0.53,0.29,0.25,4.43,4.67,3.89
Patrick Patterson,LAC,38,26,12,15.3,5696,1.08,0.59,0.49,4.13,4.41,3.82
Patrick Williams,CHI,71,30,41,27.9,11259.3,2.13,1.13,1,4.33,4.53,4.12
Patty Mills,SAS,68,31,37,24.8,9980.3,1.89,1.02,0.87,4.33,4.67,4
Paul George,LAC,54,38,16,33.7,12958,2.45,1.36,1.1,4.11,4.51,3.7
Paul Millsap,DEN,56,38,18,20.8,7737.1,1.47,0.78,0.68,4.04,4.28,3.79
Paul Reed,PHI,26,17,9,6.8,2880.2,0.55,0.3,0.25,4.42,4.85,3.98
Paul Watson,TOR,27,13,14,11,4790.3,0.91,0.48,0.43,4.58,4.95,4.22
Payton Pritchard,BOS,66,33,33,19.2,7758.8,1.47,0.79,0.68,4.29,4.55,4.03
Precious Achiuwa,MIA,61,31,30,12.1,4958.4,0.94,0.5,0.44,4.38,4.62,4.13
Quinn Cook,CLE,23,13,10,6.8,2486.5,0.47,0.25,0.23,4.3,4.48,4.11
Quinndary Weatherspoon,SAS,20,8,12,6,2519.1,0.48,0.25,0.23,4.33,4.7,3.98
R.J. Hampton,ORL,51,20,31,17.4,7258.5,1.37,0.75,0.63,4.41,4.71,4.11
RJ Barrett,NYK,72,41,31,34.9,14105.3,2.67,1.45,1.22,4.34,4.6,4.07
Rajon Rondo,LAC,45,28,17,17.1,6264.2,1.19,0.65,0.54,3.88,4.15,3.61
Raul Neto,WAS,64,30,34,21.9,8776.4,1.66,0.88,0.78,4.34,4.7,3.99
Ray Spalding,HOU,2,0,2,9.4,4391.5,0.83,0.42,0.41,5.12,5.08,4.58
Rayjon Tucker,PHI,14,8,6,4.9,1969.9,0.37,0.19,0.18,4.19,4.37,4.01
Reggie Bullock Jr.,NYK,65,38,27,30,11699.9,2.22,1.2,1.02,4.18,4.4,3.95
Reggie Jackson,LAC,67,43,24,23.1,8820.9,1.67,0.91,0.76,4.09,4.39,3.78
Reggie Perry,BKN,26,18,8,8.1,3195.2,0.61,0.32,0.28,4.17,4.52,3.83
Richaun Holmes,SAC,61,29,32,29.2,10671.5,2.02,1.06,0.96,3.96,4.18,3.75
Ricky Rubio,MIN,68,23,45,26.1,10551.2,2,1.13,0.87,4.29,4.86,3.73
Robert Covington,POR,70,42,28,32,11462.1,2.17,1.18,0.99,3.9,4.14,3.64
Robert Franks,ORL,7,0,7,14.4,6045.6,1.14,0.63,0.52,4.44,4.75,4.11
Robert Williams III,BOS,52,29,23,18.9,7252.6,1.37,0.72,0.65,4.07,4.28,3.86
Robert Woodard II,SAC,13,3,10,3.5,1423.7,0.27,0.14,0.13,4.3,4.96,3.72
Robin Lopez,WAS,71,34,37,19.1,7111.6,1.35,0.7,0.65,4.05,4.26,3.84
Rodions Kurucs,MIL,21,10,11,5.9,2501.6,0.47,0.26,0.22,4.39,4.89,3.91
Rodney Hood,TOR,55,29,26,17.1,6621.1,1.25,0.7,0.56,4.19,4.51,3.84
Rodney McGruder,DET,16,3,13,12.1,5169.9,0.98,0.53,0.45,4.52,4.92,4.07
Romeo Langford,BOS,18,9,9,15.7,6324.7,1.2,0.63,0.57,4.28,4.47,4.09
Rondae Hollis-Jefferson,POR,11,6,5,9.8,4160.6,0.79,0.42,0.37,4.53,4.71,4.24
Royce O'Neale,UTA,71,51,20,31.6,12658.9,2.4,1.3,1.09,4.3,4.69,3.92
Rudy Gay,SAS,63,29,34,21.6,8112.2,1.54,0.82,0.71,4.08,4.37,3.78
Rudy Gobert,UTA,71,52,19,30.8,11717.6,2.22,1.18,1.04,4.07,4.37,3.78
Rui Hachimura,WAS,57,29,28,31.5,12583.6,2.38,1.26,1.13,4.33,4.71,3.97
Russell Westbrook,WAS,65,30,35,36.4,13561.8,2.57,1.39,1.17,4.02,4.59,3.5
Ryan Arcidiacono,CHI,44,20,24,10.2,4377.8,0.83,0.45,0.38,4.55,4.91,4.17
Saben Lee,DET,48,14,34,16.3,6923.9,1.31,0.7,0.61,4.52,4.72,4.32
Saddiq Bey,DET,70,19,51,27.3,10443,1.98,1.07,0.9,4.11,4.34,3.86
Sam Merrill,MIL,30,18,12,7.8,3163.1,0.6,0.33,0.27,4.28,4.86,3.74
Sean McDermott,MEM,18,10,8,8.8,3586.8,0.68,0.37,0.31,4.37,4.55,4.17
Sekou Doumbouya,DET,56,15,41,15.5,6229.1,1.18,0.64,0.54,4.28,4.62,3.94
Semi Ojeleye,BOS,56,28,28,17,6803.6,1.29,0.71,0.57,4.33,4.73,3.92
Serge Ibaka,LAC,41,24,17,23.3,8356.4,1.58,0.85,0.73,3.93,4.11,3.72
Seth Curry,PHI,57,39,18,28.7,10933,2.07,1.13,0.94,4.08,4.39,3.76
Shai Gilgeous-Alexander,OKC,35,16,19,33.7,12870.6,2.44,1.37,1.07,4.08,4.52,3.62
Shake Milton,PHI,63,46,17,23.2,9304,1.76,0.99,0.77,4.25,4.67,3.82
Shaquille Harrison,DEN,34,27,7,9.8,4064.9,0.77,0.42,0.35,4.42,4.67,4.15
Sindarius Thornwell,ORL,21,7,14,10.3,3869.9,0.73,0.38,0.35,4.31,4.47,4.16
Skylar Mays,ATL,33,19,14,8.2,3171.5,0.6,0.33,0.27,4.1,4.23,3.96
Solomon Hill,ATL,71,41,30,21.3,8209.8,1.55,0.83,0.72,4.1,4.29,3.91
Spencer Dinwiddie,BKN,3,2,1,21.4,8381.7,1.59,0.78,0.8,4.25,4.74,3.86
Stanley Johnson,TOR,61,25,36,16.5,6773.5,1.28,0.67,0.61,4.34,4.66,4.03
Stephen Curry,GSW,63,37,26,34.1,13686.9,2.59,1.44,1.16,4.3,5.03,3.65
Sterling Brown,HOU,51,14,37,24.1,9467.6,1.79,0.91,0.88,4.28,4.39,4.16
Steven Adams,NOP,58,26,32,27.7,10560.7,2,1.05,0.95,4.11,4.31,3.9
Svi Mykhailiuk,OKC,66,13,53,20.1,8393.2,1.59,0.88,0.71,4.45,4.92,3.98
T.J. Leaf,POR,7,6,1,5.1,2145.6,0.41,0.22,0.19,4.38,4.51,4.25
T.J. McConnell,IND,69,33,36,26,11448.5,2.17,1.12,1.05,4.65,5.01,4.32
T.J. Warren,IND,4,3,1,29.4,12089,2.29,1.17,1.11,4.39,4.62,4.18
Tacko Fall,BOS,19,13,6,7.1,2675.4,0.51,0.27,0.24,3.92,4.01,3.82
Taj Gibson,NYK,45,29,16,20.8,8054.7,1.53,0.81,0.72,4.12,4.29,3.96
Talen Horton-Tucker,LAL,65,39,26,20.1,8043.2,1.52,0.82,0.7,4.24,4.58,3.91
Taurean Prince,CLE,41,15,26,22.1,8316.7,1.58,0.84,0.74,4.01,4.27,3.75
Terance Mann,LAC,67,45,22,18.9,7713,1.46,0.76,0.7,4.38,4.51,4.23
Terence Davis,SAC,61,26,35,17.6,7252.5,1.37,0.73,0.64,4.33,4.68,3.99
Terrance Ferguson,PHI,13,10,3,3.8,1508.8,0.29,0.15,0.13,4.14,4.25,4.02
Terrence Ross,ORL,46,16,30,29.3,11813.4,2.24,1.25,0.99,4.28,4.69,3.85
Terry Rozier,CHA,69,32,37,34.5,14003.4,2.65,1.4,1.25,4.35,4.64,4.06
Thaddeus Young,CHI,68,30,38,24.3,9435.1,1.79,0.97,0.82,4.13,4.41,3.84
Thanasis Antetokounmpo,MIL,57,37,20,9.7,4038.1,0.76,0.4,0.36,4.39,4.67,4.11
Theo Maledon,OKC,65,20,45,27.4,11153.6,2.11,1.19,0.93,4.39,4.88,3.89
Theo Pinson,NYK,17,9,8,2,755.9,0.14,0.07,0.07,3.8,4.12,3.54
Thomas Bryant,WAS,10,2,8,27.1,10596.5,2.01,1.05,0.96,4.17,4.55,3.82
Thon Maker,CLE,8,3,5,9.6,4012.1,0.76,0.4,0.36,4.47,4.56,4.37
Tim Frazier,MEM,5,5,0,12.4,5050.2,0.96,0.52,0.44,4.33,4.7,3.95
Tim Hardaway Jr.,DAL,70,42,28,28.4,10715.5,2.03,1.11,0.92,4.08,4.39,3.75
Timothe Luwawu-Cabarrot,BKN,58,38,20,18.1,7549.8,1.43,0.77,0.66,4.45,4.9,4.02
Tobias Harris,PHI,62,44,18,32.5,12340.6,2.34,1.27,1.06,4.07,4.39,3.74
Tomas Satoransky,CHI,58,25,33,22.5,9537.1,1.81,0.99,0.82,4.54,4.97,4.1
Tony Bradley,OKC,42,15,27,16.3,6246.9,1.18,0.63,0.55,4.17,4.45,3.89
Tony Snell,ATL,47,29,18,21.1,7903.1,1.5,0.79,0.7,3.99,4.17,3.81
Torrey Craig,PHX,50,33,17,16.1,6642.9,1.26,0.66,0.59,4.41,4.65,4.17
Trae Young,ATL,63,36,27,33.7,13013,2.46,1.4,1.06,4.12,4.66,3.58
Tre Jones,SAS,37,15,22,7.3,2946.2,0.56,0.3,0.26,4.44,4.71,4.17
Tremont Waters,BOS,26,13,13,9.1,3654.8,0.69,0.37,0.33,4.21,4.59,3.85
Trent Forrest,UTA,30,22,8,10.1,4161.5,0.79,0.42,0.36,4.43,4.68,4.17
Trevor Ariza,MIA,30,17,13,28,10716.3,2.03,1.04,0.99,4.09,4.24,3.94
Trey Burke,DAL,62,35,27,14.7,5909.4,1.12,0.58,0.54,4.3,4.43,4.15
Trey Lyles,SAS,23,10,13,15.6,6071.1,1.15,0.62,0.52,4.26,4.59,3.95
Tristan Thompson,BOS,54,27,27,23.8,9148.7,1.73,0.91,0.83,4.11,4.25,3.96
Troy Brown Jr.,CHI,34,10,24,15.4,6228.6,1.18,0.62,0.56,4.42,4.75,4.11
Ty Jerome,OKC,33,7,26,23.9,9541,1.81,1.02,0.78,4.25,4.87,3.66
Ty-Shon Alexander,PHX,15,11,4,3.2,1162.3,0.22,0.12,0.1,4.02,4.34,3.73
Tyler Bey,DAL,18,11,7,3.9,1665.1,0.32,0.17,0.14,4.4,4.55,4.24
Tyler Cook,DET,32,11,21,13.7,5205.8,0.99,0.54,0.45,4.25,4.6,3.89
Tyler Herro,MIA,54,29,25,30.3,12854.7,2.43,1.34,1.1,4.51,4.94,4.06
Tyler Johnson,BKN,39,29,10,17.5,6866.5,1.3,0.69,0.61,4.17,4.47,3.87
Tyrell Terry,DAL,11,2,9,5.1,2030.5,0.38,0.2,0.19,4.14,4.47,4.03
Tyrese Haliburton,SAC,58,25,33,30.1,12278.7,2.33,1.27,1.05,4.31,4.73,3.9
Tyrese Maxey,PHI,61,41,20,15.3,6566.9,1.24,0.69,0.55,4.55,4.93,4.16
Tyus Jones,MEM,70,36,34,17.5,7161.2,1.36,0.74,0.62,4.43,4.86,4.02
Udoka Azubuike,UTA,15,13,2,3.8,1368.5,0.26,0.14,0.11,3.92,4.1,3.71
Udonis Haslem,MIA,1,1,0,2.7,930,0.18,0.07,0.1,4.46,6.52,3.4
Vernon Carey Jr.,CHA,19,9,10,6,2308.8,0.44,0.22,0.22,4.05,4.28,3.85
Victor Oladipo,MIA,33,13,20,32.7,12708.4,2.41,1.29,1.12,4.27,4.64,3.91
Vincent Poirier,PHI,10,8,2,3.9,1634.4,0.31,0.17,0.14,4.37,4.42,4.31
Vlatko Čančar,DEN,41,28,13,6.9,2746.9,0.52,0.29,0.23,4.21,4.45,3.99
Wayne Ellington,DET,46,13,33,22,8596.9,1.63,0.94,0.69,4.28,4.7,3.82
Wendell Carter Jr.,ORL,54,21,33,25.5,9820.9,1.86,1.01,0.85,4.13,4.43,3.83
Wenyen Gabriel,NOP,21,9,12,11.5,4537.6,0.86,0.45,0.41,4.23,4.7,3.86
Wes Iwundu,NOP,41,17,24,13.2,5577,1.06,0.56,0.5,4.49,4.79,4.19
Wesley Matthews,LAL,58,33,25,19.5,7716.9,1.46,0.78,0.69,4.21,4.45,3.96
Will Barton,DEN,56,37,19,31,11789.4,2.23,1.2,1.04,4.11,4.34,3.89
Will Magnay,NOP,1,1,0,3.3,374,0.07,0.04,0.03,7.51,0,0
Willie Cauley-Stein,DAL,53,29,24,17.1,6754.6,1.28,0.68,0.59,4.29,4.56,4.02
Willy Hernangomez,NOP,47,20,27,18,7147.3,1.35,0.71,0.64,4.28,4.6,3.99
Xavier Tillman,MEM,59,31,28,18.4,7487.3,1.42,0.75,0.67,4.39,4.77,4.02
Yogi Ferrell,LAC,10,4,6,13.7,4750.8,0.9,0.49,0.41,4.15,4.43,3.86
Yuta Watanabe,TOR,50,24,26,14.5,6413.2,1.21,0.67,0.54,4.68,5.18,4.19
Zach LaVine,CHI,58,26,32,35.1,14326,2.71,1.49,1.22,4.37,4.81,3.93
Zeke Nnaji,DEN,42,30,12,9.5,3904.2,0.74,0.4,0.34,4.36,4.61,4.1
Zion Williamson,NOP,61,29,32,33.2,13804.7,2.61,1.41,1.2,4.42,4.87,4
